2.298052	1.001425	-1.954900	0.190129	-1.320307	0.518417	0.052036	0.013863	0.004767	-0.143359	-0.020261	0.003681	1.376417	1.407909	1.355690	1.323558	
2.307672	0.935227	-1.927797	0.194580	-1.326958	0.565617	0.045233	0.012740	0.004969	-0.128897	-0.023815	0.003696	1.377011	1.412187	1.353079	1.317515	
2.317497	0.868789	-1.898356	0.198295	-1.330014	0.611906	0.039199	0.011428	0.005164	-0.112666	-0.027918	0.003706	1.376703	1.414319	1.349480	1.311732	
2.327488	0.802278	-1.866634	0.201173	-1.329958	0.656884	0.034010	0.009898	0.005349	-0.095077	-0.032585	0.003709	1.375581	1.414391	1.345064	1.306382	
2.337599	0.735837	-1.832704	0.203101	-1.327307	0.700217	0.029725	0.008124	0.005526	-0.076559	-0.037817	0.003706	1.373748	1.412534	1.340021	1.301624	
2.347780	0.669582	-1.796656	0.203955	-1.322601	0.741636	0.026379	0.006076	0.005695	-0.057543	-0.043600	0.003696	1.371302	1.408904	1.334537	1.297587	
2.357974	0.603602	-1.758589	0.203604	-1.316384	0.780939	0.023986	0.003730	0.005856	-0.038458	-0.049903	0.003681	1.368328	1.403666	1.328786	1.294359	
2.368118	0.537960	-1.718614	0.201904	-1.309195	0.817981	0.022539	0.001059	0.006010	-0.019718	-0.056682	0.003658	1.364887	1.396985	1.322918	1.291986	
2.378140	0.472691	-1.676845	0.198708	-1.301551	0.852663	0.022013	-0.001959	0.006159	-0.001715	-0.063878	0.003630	1.361019	1.389021	1.317059	1.290472	
2.387961	0.407805	-1.633404	0.193859	-1.293938	0.884921	0.022360	-0.005342	0.006303	0.015181	-0.071415	0.003595	1.356742	1.379923	1.311308	1.289781	
2.397495	0.343289	-1.588411	0.187200	-1.286804	0.914712	0.023516	-0.009106	0.006443	0.030636	-0.079205	0.003554	1.352057	1.369835	1.305747	1.289852	
2.406648	0.279110	-1.541991	0.178568	-1.280544	0.942011	0.025404	-0.013260	0.006579	0.044349	-0.087144	0.003508	1.346956	1.358893	1.300437	1.290597	
2.415317	0.215215	-1.494269	0.167804	-1.275499	0.966798	0.027928	-0.017811	0.006712	0.056058	-0.095120	0.003456	1.341423	1.347233	1.295429	1.291914	
2.423391	0.151536	-1.445371	0.154752	-1.271948	0.989059	0.030983	-0.022756	0.006842	0.065543	-0.103006	0.003400	1.335441	1.334988	1.290760	1.293686	
2.430752	0.087992	-1.395423	0.139265	-1.270103	1.008778	0.034454	-0.028088	0.006967	0.072624	-0.110666	0.003339	1.328994	1.322294	1.286458	1.295790	
2.437275	0.024495	-1.344553	0.121204	-1.270110	1.025942	0.038216	-0.033793	0.007086	0.077168	-0.117959	0.003275	1.322068	1.309287	1.282544	1.298094	
2.442828	-0.039050	-1.292890	0.100446	-1.272041	1.040536	0.042141	-0.039850	0.007199	0.079087	-0.124735	0.003207	1.314657	1.296109	1.279028	1.300459	
2.447273	-0.102740	-1.240561	0.076885	-1.275901	1.052544	0.046097	-0.046228	0.007301	0.078341	-0.130844	0.003136	1.306758	1.282900	1.275913	1.302744	
2.450469	-0.166670	-1.187697	0.050435	-1.281623	1.061952	0.049950	-0.052892	0.007391	0.074939	-0.136133	0.003063	1.298378	1.269808	1.273192	1.304801	
2.452269	-0.230930	-1.134427	0.021037	-1.289076	1.068750	0.053570	-0.059796	0.007464	0.068939	-0.140451	0.002988	1.289533	1.256983	1.270851	1.306481	
2.452524	-0.295602	-1.080884	-0.011345	-1.298063	1.072930	0.056827	-0.066890	0.007518	0.060453	-0.143654	0.002913	1.280252	1.244580	1.268870	1.307639	
2.451086	-0.360757	-1.027197	-0.046712	-1.308331	1.074493	0.059603	-0.074114	0.007549	0.049641	-0.145605	0.002837	1.270586	1.232765	1.267229	1.308140	
